Group,Item,Gram,Match,Distance,Sentence
A,1,Gram,Match,Short,The mountain that the naturalist was happily hiking on was especially beautiful at sunrise.
B,1,Gram,Mismatch,Short,The mountains that the naturalist was happily hiking on were especially beautiful at sunrise.
C,1,Ungram,Match,Short,The mountain that the naturalist were happily hiking on was especially beautiful at sunrise.
D,1,Ungram,Mismatch,Short,The mountains that the naturalist were happily hiking on were especially beautiful at sunrise.
E,1,Gram,Match,Long,"The mountain that, at the crack of dawn, the naturalist was happily hiking on, was especially beautiful at sunrise."
F,1,Gram,Mismatch,Long,"The mountains that, at the crack of dawn, the naturalist was happily hiking on, were especially beautiful at sunrise."
G,1,Ungram,Match,Long,"The mountain that, at the crack of dawn, the naturalist were happily hiking on, was especially beautiful at sunrise."
H,1,Ungram,Mismatch,Long,"The mountains that, at the crack of dawn, the naturalist were happily hiking on, were especially beautiful at sunrise."
H,2,Gram,Match,Short,The field that the farmer was laboriously planting the crops in was rich in nutrients.
A,2,Gram,Mismatch,Short,The fields that the farmer was laboriously planting the crops in was rich in nutrients.
B,2,Ungram,Match,Short,The field that the farmer were laboriously planting the crops in was rich in nutrients.
C,2,Ungram,Mismatch,Short,The fields that the farmer were laboriously planting the crops in was rich in nutrients.
D,2,Gram,Match,Long,"The field that, just one month ago, the farmer was laboriously planting the crops in, was rich in nutrients."
E,2,Gram,Mismatch,Long,"The fields that, just one month ago, the farmer was laboriously planting the crops in, were rich in nutrients."
F,2,Ungram,Match,Long,"The field that, just one month ago, the farmer were laboriously planting the crops in, was rich in nutrients."
G,2,Ungram,Mismatch,Long,"The fields that, just one month ago, the farmer were laboriously planting the crops in, were rich in nutrients."
G,3,Gram,Match,Short,The meadow that the backpacker was aimlessly wandering in was lush with vegetation.
H,3,Gram,Mismatch,Short,The meadows that the backpacker was aimlessly wandering in were lush with vegetation.
A,3,Ungram,Match,Short,The meadow that the backpacker were aimlessly wandering in was lush with vegetation.
B,3,Ungram,Mismatch,Short,The meadows that the backpacker were aimlessly wandering in were lush with vegetation.
C,3,Gram,Match,Long,"The meadow that, sometime earlier in the day, the backpacker was aimlessly wandering in, was lush with vegetation."
D,3,Gram,Mismatch,Long,"The meadows that, sometime earlier in the day, the backpacker was aimlessly wandering in were lush with vegetation."
E,3,Ungram,Match,Long,"The meadow that, sometime earlier in the day, the backpacker were aimlessly wandering in was lush with vegetation."
F,3,Ungram,Mismatch,Long,"The meadows that, sometime earlier in the day, the backpacker were aimlessly wandering in were lush with vegetation."
F,4,Gram,Match,Short,The swamp that the outdoorsman was exhaustedly hiking in was full of birch trees.
G,4,Gram,Mismatch,Short,The swamps that the outdoorsman was exhaustedly hiking in were full of birch trees.
H,4,Ungram,Match,Short,The swamp that the outdoorsman were exhaustedly hiking in was full of birch trees.
A,4,Ungram,Mismatch,Short,The swamps that the outdoorsman were exhaustedly hiking in were full of birch trees.
B,4,Gram,Match,Long,"The swamp that, earlier in the afternoon, the outdoorsman was exhaustedly hiking in, was full of birch trees."
C,4,Gram,Mismatch,Long,"The swamps that, earlier in the afternoon, the outdoorsman was exhaustedly hiking in, were full of birch trees."
D,4,Ungram,Match,Long,"The swamp that, earlier in the afternoon, the outdoorsman were exhaustedly hiking in, was full of birch trees."
E,4,Ungram,Mismatch,Long,"The swamps that, earlier in the afternoon, the outdoorsman were exhaustedly hiking in, were full of birch trees."
E,5,Gram,Match,Short,The building that the architect was thoroughly preparing for his exam in housed several archives of blueprints.
F,5,Gram,Mismatch,Short,The buildings that the architect was thoroughly preparing for his exam in housed several archives of blueprints.
G,5,Ungram,Match,Short,The building that the architect were thoroughly preparing for his exam in housed several archives of blueprints.
H,5,Ungram,Mismatch,Short,The buildings that the architect were thoroughly preparing for his exam in housed several archives of blueprints.
A,5,Gram,Match,Long,"The building that, this time last semester, the architect was thoroughly preparing for his exam in, housed several archives of blueprints."
B,5,Gram,Mismatch,Long,"The buildings that, this time last semester, the architect was thoroughly preparing for his exam in, housed several archives of blueprints."
C,5,Ungram,Match,Long,"The building that, this time last semester, the architect were thoroughly preparing for his exam in, housed several archives of blueprints."
D,5,Ungram,Mismatch,Long,"The buildings that, this time last semester, the architect were thoroughly preparing for his exam in, housed several archives of blueprints."
D,6,Gram,Match,Short,The garden that the botanist is currently collecting specimens in is home to many exotic plants.
E,6,Gram,Mismatch,Short,The gardens that the botanist is currently collecting specimens in are home to many exotic plants.
F,6,Ungram,Match,Short,The garden that the botanist are currently collecting specimens in is home to many exotic plants.
G,6,Ungram,Mismatch,Short,The gardens that the botanist are currently collecting specimens in are home to many exotic plants.
H,6,Gram,Match,Long,"The garden that, despite the summer heat, the botanist is currently collecting specimens in, is home to many exotic plants."
A,6,Gram,Mismatch,Long,"The gardens that, despite the summer heat, the botanist is currently collecting specimens in, are home to many exotic plants."
B,6,Ungram,Match,Long,"The garden that, despite the summer heat, the botanist are currently collecting specimens in, is home to many exotic plants."
C,6,Ungram,Mismatch,Long,"The gardens that, despite the summer heat, the botanist are currently collecting specimens in, are home to many exotic plants."
C,7,Gram,Match,Short,The ruin that the archaeologist was meticulously excavating artifacts in was the site of important cultural events.
D,7,Gram,Mismatch,Short,The ruins that the archaeologist was meticulously excavating artifacts in were the site of important cultural events.
E,7,Ungram,Match,Short,The ruin that the archaeologist were meticulously excavating artifacts in was the site of important cultural events.
F,7,Ungram,Mismatch,Short,The ruins that the archaeologist were meticulously excavating artifacts in were the site of important cultural events.
G,7,Gram,Match,Long,"The ruin that, this time last spring, the archaeologist was meticulously excavating artifacts in, was the site of important cultural events."
H,7,Gram,Mismatch,Long,"The ruins that, this time last spring, the archaeologist was meticulously excavating artifacts in, were the site of important cultural events."
A,7,Ungram,Match,Long,"The ruin that, this time last spring, the archaeologist were meticulously excavating artifacts in, was the site of important cultural events."
B,7,Ungram,Mismatch,Long,"The ruins that, this time last spring, the archaeologist were meticulously excavating artifacts in, were the site of important cultural events."
B,8,Gram,Match,Short,The library that the mayor is enthusiastically promoting educational events at is in desperate need of funding.
C,8,Gram,Mismatch,Short,The libraries that the mayor is enthusiastically promoting educational events at are in desperate need of funding.
D,8,Ungram,Match,Short,The library that the mayor are enthusiastically promoting educational events at is in desperate need of funding.
E,8,Ungram,Mismatch,Short,The libraries that the mayor are enthusiastically promoting educational events at are in desperate need of funding.
F,8,Gram,Match,Long,"The library that, once each winter month, the mayor is enthusiastically promoting educational events at, is in desperate need of funding."
G,8,Gram,Mismatch,Long,"The libraries that, once each winter month, the mayor is enthusiastically promoting educational events at, are in desperate need of funding."
H,8,Ungram,Match,Long,"The library that, once each winter month, the mayor are enthusiastically promoting educational events at, is in desperate need of funding."
A,8,Ungram,Mismatch,Long,"The libraries that, once each winter month, the mayor are enthusiastically promoting educational events at, are in desperate need of funding."
A,9,Gram,Match,Short,The set that the director was recently filming at is intricately detailed.
B,9,Gram,Mismatch,Short,The sets that the director was recently filming at are intricately detailed.
C,9,Ungram,Match,Short,The set that the director were recently filming at is intricately detailed.
D,9,Ungram,Mismatch,Short,The sets that the director were recently filming at are intricately detailed.
E,9,Gram,Match,Long,"The set that, despite the ongoing strike, the director was recently filming at, is intricately detailed."
F,9,Gram,Mismatch,Long,"The sets that, despite the ongoing strike, the director was recently filming at, are intricately detailed."
G,9,Ungram,Match,Long,"The set that, despite the ongoing strike, the director were recently filming at, is intricately detailed."
H,9,Ungram,Mismatch,Long,"The sets that, despite the ongoing strike, the director were recently filming at, are intricately detailed."
H,10,Gram,Match,Short,The park that the musician was routinely holding free concerts at is popular with families.
A,10,Gram,Mismatch,Short,The parks that the musician was routinely holding free concerts at are popular with families.
B,10,Ungram,Match,Short,The park that the musician were routinely holding free concerts at is popular with families.
C,10,Ungram,Mismatch,Short,The parks that the musician were routinely holding free concerts at are popular with families.
D,10,Gram,Match,Long,"The park that, every month last summer, the musician was routinely holding free concerts at, is popular with families."
E,10,Gram,Mismatch,Long,"The parks that, every month last summer, the musician was routinely holding free concerts at, are popular with families."
F,10,Ungram,Match,Long,"The park that, every month last summer, the musician were routinely holding free concerts at, is popular with families."
G,10,Ungram,Mismatch,Long,"The parks that, every month last summer, the musician were routinely holding free concerts at, are popular with families."
G,11,Gram,Match,Short,The cavern that the pirate is greedily searching for treasure in has many dangers.
H,11,Gram,Mismatch,Short,The caverns that the pirate is greedily searching for treasure in have many dangers.
A,11,Ungram,Match,Short,The cavern that the pirate are greedily searching for treasure in has many dangers.
B,11,Ungram,Mismatch,Short,The caverns that the pirate are greedily searching for treasure in have many dangers.
C,11,Gram,Match,Long,"The cavern that, with every passing second, the pirate is greedily searching for treasure in, has many dangers."
D,11,Gram,Mismatch,Long,"The caverns that, with every passing second, the pirate is greedily searching for treasure in, have many dangers."
E,11,Ungram,Match,Long,"The cavern that, with every passing second, the pirate are greedily searching for treasure in, has many dangers."
F,11,Ungram,Mismatch,Long,"The caverns that, with every passing second, the pirate are greedily searching for treasure in, have many dangers."
F,12,Gram,Match,Short,The hallway that the guard was cautiously patrolling in is equipped with security cameras.
G,12,Gram,Mismatch,Short,The hallways that the guard was cautiously patrolling in are equipped with security cameras.
H,12,Ungram,Match,Short,The hallway that the guard were cautiously patrolling in is equipped with security cameras.
A,12,Ungram,Mismatch,Short,The hallways that the guard were cautiously patrolling in are equipped with security cameras.
B,12,Gram,Match,Long,"The hallway that, every night last week, the guard was cautiously patrolling in, is equipped with security cameras."
C,12,Gram,Mismatch,Long,"The hallways that, every night last week, the guard was cautiously patrolling in, are equipped with security cameras."
D,12,Ungram,Match,Long,"The hallway that, every night last week, the guard were cautiously patrolling in, is equipped with security cameras."
E,12,Ungram,Mismatch,Long,"The hallways that, every night last week, the guard were cautiously patrolling in, are equipped with security cameras."
E,13,Gram,Match,Short,The burner that the chef was meticulously simmering risotto on is precisely calibrated for heat.
F,13,Gram,Mismatch,Short,The burners that the chef was meticulously simmering risotto on are precisely calibrated for heat.
G,13,Ungram,Match,Short,The burner that the chef were meticulously simmering risotto on is precisely calibrated for heat.
H,13,Ungram,Mismatch,Short,The burners that the chef were meticulously simmering risotto on are precisely calibrated for heat.
A,13,Gram,Match,Long,"The burner that, for the last hour, the chef was meticulously simmering risotto on, is precisely calibrated for heat."
B,13,Gram,Mismatch,Long,"The burners that, for the last hour, the chef was meticulously simmering risotto on, are precisely calibrated for heat."
C,13,Ungram,Match,Long,"The burner that, for the last hour, the chef were meticulously simmering risotto on, is precisely calibrated for heat."
