Group,Item,VerbType,Verb,SentenceVoice,Sentence,VerbFrequency,VerbLength,EmotionalValence,EVPairType
A,57,SubjExp,appreciate,Active,That's the actor that the director particularly appreciates because of his dramatic emotional bearing.,4861,11,Positive,PN
B,57,ObjExp,bother,Active,That's the actor that the director particularly bothers because of his dramatic emotional bearing.,5102,7,Negative,PN
C,57,SubjExp,appreciate,Passive,That's the director that the actor is particularly appreciated by because of his dramatic emotional bearing.,4861,11,Positive,PN
D,57,ObjExp,bother,Passive,That's the director that the actor is particularly bothered by because of his dramatic emotional bearing.,5102,8,Negative,PN
D,58,SubjExp,appreciate,Active,That's the park ranger that the tourist particularly appreciates because of his gung-ho attitude.,4861,11,Positive,PN
A,58,ObjExp,bother,Passive,That's the tourist that the park ranger is particularly bothered by because of his gung-ho attitude.,5102,8,Negative,PN
B,58,SubjExp,appreciate,Passive,That's the tourist that the park ranger is particularly appreciated by because of his gung-ho attitude.,4861,11,Positive,PN
C,58,ObjExp,bother,Active,That's the park ranger that the tourist particularly bothers because of his gung-ho attitude.,5102,7,Negative,PN
C,59,SubjExp,admire,Active,That's the student that the professor somewhat admires in spite of his know-it-all attitude.,1042,7,Positive,PN
D,59,ObjExp,frighten,Active,That's the student that the professor somewhat frightens in spite of his know-it-all attitude.,834,9,Negative,PN
A,59,SubjExp,admire,Passive,That's the professor that the student is somewhat admired by in spite of his know-it-all attitude.,1042,7,Positive,PN
B,59,ObjExp,frighten,Passive,That's the professor that the student is somewhat frightened by in spite of his know-it-all attitude.,834,10,Negative,PN
B,60,SubjExp,admire,Active,That's the player that the coach somewhat admires in spite of his over-eagerness.,1042,7,Positive,PN
C,60,ObjExp,frighten,Passive,That's the coach that the player is somewhat frightened by in spite of his over-eagerness.,834,10,Negative,PN
D,60,SubjExp,admire,Passive,That's the coach that the player is somewhat admired by in spite of his over-eagerness.,1042,7,Positive,PN
A,60,ObjExp,frighten,Active,That's the player that the coach somewhat frightens in spite of his over-eagerness.,834,9,Negative,PN
A,61,SubjExp,adore,Active,That's the musician that the conductor greatly adores due to his vigorous practice regimen.,602,6,Positive,PN
B,61,ObjExp,disappoint,Active,That's the musician that the conductor greatly disappoints due to his vigorous practice regimen.,591,11,Negative,PN
C,61,SubjExp,adore,Passive,That's the conductor that the musician is greatly adored by due to his vigorous practice regimen.,602,6,Positive,PN
D,61,ObjExp,disappoint,Passive,That's the conductor that the musician is greatly disappointed by due to his vigorous practice regimen.,591,12,Negative,PN
D,62,SubjExp,adore,Active,That's the carpenter that the contractor greatly adores due to his workmanship.,602,6,Positive,PN
A,62,ObjExp,disappoint,Passive,That's the contractor that the carpenter is greatly disappointed by due to his workmanship.,591,12,Negative,PN
B,62,SubjExp,adore,Passive,That's the contractor that the carpenter is greatly adored by due to his workmanship.,602,6,Positive,PN
C,62,ObjExp,disappoint,Active,That's the carpenter that the contractor greatly disappoints due to his workmanship.,591,11,Negative,PN
C,63,SubjExp,fancy,Active,That's the greengrocer that the tailor really fancies on account of their long conversations.,545,7,Positive,PN
D,63,ObjExp,bore,Active,That's the greengrocer that the tailor really bores on account of their long conversations,563,5,Negative,PN
A,63,SubjExp,fancy,Passive,That's the tailor that the greengrocer is really fancied by on account of their long conversations.,545,7,Positive,PN
B,63,ObjExp,bore,Passive,That's the tailor that the greengrocer is really bored by on account of their long conversations.,563,5,Negative,PN
B,64,SubjExp,fancy,Active,That's the bellboy that the guest really fancies on account of his placid demeanor.,545,7,Positive,PN
C,64,ObjExp,bore,Passive,That's the guest that the bellboy is really bored by on account of his placid demeanor.,563,5,Negative,PN
D,64,SubjExp,fancy,Passive,That's the guest that the bellboy is really fancied by on account of his placid demeanor.,545,7,Positive,PN
A,64,ObjExp,bore,Active,That's the bellboy that the guest really bores on account of his placid demeanor.,563,5,Negative,PN
A,65,SubjExp,tolerate,Active,That's the student that the teacher somewhat tolerates despite his uncaring appearance.,455,9,Negative,NN
B,65,ObjExp,terrify,Active,That's the student that the teacher somewhat terrifies despite his uncaring appearance.,443,9,Negative,NN
C,65,SubjExp,tolerate,Passive,That's the teacher that the student is somewhat tolerated by despite his uncaring appearance.,455,9,Negative,NN
D,65,ObjExp,terrify,Passive,That's the teacher that the student is somewhat terrified by despite his uncaring appearance.,443,9,Negative,NN
D,66,SubjExp,tolerate,Active,That's the concierge that the executive somewhat tolerates despite his meek disposition.,455,9,Negative,NN
